Product Type,Product Weight (kg),Purpose,Vehicle Type,maxWeightCapacity
Fresh Vegetables,11122,perishable goods,10 wheeler Reefer Truck,13091
Corn,4622,crops,Dropside Truck,6110
Goats,10184,livestock,10 wheeler Livestock Truck,11893
Vegetables,8562,crops,10 Wheeler Cargo Truck,9723
Vegetables,12462,crops,10 Wheeler Dump Truck,14444
Eggs,5587,perishable goods,Large Refrigerated Truck,6691
Rice,9986,crops,10 Wheeler Cargo Truck,11572
Pigs,2047,livestock,Medium Livestock Truck,3620
Milk,1909,perishable goods,Small Refrigerated Truck,3251
Chickens,10519,livestock,10 wheeler Livestock Truck,10987
Corn,12099,crops,10 Wheeler Dump Truck,12779
Goats,1530,livestock,Medium Livestock Truck,2507
Chickens,5385,livestock,Large Livestock Truck,6848
Rice,5237,crops,Dropside Truck,6406
Fresh Vegetables,4073,perishable goods,Medium Refrigerated Truck,4477
Rice,5517,crops,Dropside Truck,6577
Goats,4440,livestock,Large Livestock Truck,4648
Meat,2986,perishable goods,Small Refrigerated Truck,3910
Milk,7306,perishable goods,Large Refrigerated Truck,7888
Eggs,313,perishable goods,Small Refrigerated Van,2071
Milk,7893,perishable goods,Large Refrigerated Truck,9445
Vegetables,1647,crops,Large Delivery Van,3115
Milk,545,perishable goods,Small Refrigerated Van,1195
Chickens,5045,livestock,Large Livestock Truck,6746
Eggs,6225,perishable goods,Large Refrigerated Truck,7157
Fresh Vegetables,4636,perishable goods,Medium Refrigerated Truck,5212
Leafy Greens,9597,perishable goods,10 wheeler Reefer Truck,10801
Pigs,6298,livestock,Large Livestock Truck,6475
Goats,8398,livestock,10 wheeler Livestock Truck,10305
Chickens,942,livestock,Small Livestock Truck,1898
Pigs,1898,livestock,Medium Livestock Truck,3795
Eggs,348,perishable goods,Small Refrigerated Van,1968
Fruits,6545,crops,Dropside Truck,7927
Cows,3373,livestock,Large Livestock Truck,4617
Eggs,9265,perishable goods,10 wheeler Reefer Truck,10437
Meat,7907,perishable goods,Large Refrigerated Truck,8229
Vegetables,14427,crops,10 Wheeler Dump Truck,15216
Corn,13040,crops,10 Wheeler Dump Truck,13297
Corn,2993,crops,Large Pickup Truck,3504
Cows,6325,livestock,Large Livestock Truck,6512
Eggs,8642,perishable goods,Large Refrigerated Truck,9342
Vegetables,3611,crops,Heavy Duty Pickup Truck,5482
Cows,1844,livestock,Medium Livestock Truck,2909
Corn,1042,crops,Large Multicab,2867
Pigs,607,livestock,Small Livestock Truck,2528
Milk,4716,perishable goods,Medium Refrigerated Truck,4994
Leafy Greens,7700,perishable goods,Large Refrigerated Truck,8775
Fresh Vegetables,1571,perishable goods,Small Refrigerated Truck,3308
Eggs,774,perishable goods,Small Refrigerated Van,1419
Frozen Fish,7089,perishable goods,Large Refrigerated Truck,8627
Leafy Greens,7391,perishable goods,Large Refrigerated Truck,7848
Meat,2560,perishable goods,Small Refrigerated Truck,4391
Milk,3480,perishable goods,Medium Refrigerated Truck,4735
Fresh Vegetables,5992,perishable goods,Large Refrigerated Truck,6374
Rice,12896,crops,10 Wheeler Dump Truck,14219
Eggs,1108,perishable goods,Medium Refrigerated Van,1683
Meat,11107,perishable goods,10 wheeler Reefer Truck,12806
Rice,10989,crops,10 Wheeler Cargo Truck,11608
Vegetables,14652,crops,10 Wheeler Dump Truck,16580
Fresh Vegetables,546,perishable goods,Small Refrigerated Van,888
Frozen Fish,4447,perishable goods,Medium Refrigerated Truck,5436
Goats,8657,livestock,10 wheeler Livestock Truck,8879
Leafy Greens,9650,perishable goods,10 wheeler Reefer Truck,11165
Rice,12653,crops,10 Wheeler Dump Truck,13545
Corn,2610,crops,Large Pickup Truck,4204
Chickens,2865,livestock,Medium Livestock Truck,3430
Cows,7500,livestock,10 wheeler Livestock Truck,9120
Vegetables,14201,crops,10 Wheeler Dump Truck,14702
Pigs,6656,livestock,Large Livestock Truck,7032
Rice,2506,crops,Elf Truck,3793
Fruits,6280,crops,Dropside Truck,7102
Eggs,9121,perishable goods,10 wheeler Reefer Truck,9949
Vegetables,9495,crops,10 Wheeler Cargo Truck,11440
Eggs,2106,perishable goods,Small Refrigerated Truck,2621
Meat,7937,perishable goods,Large Refrigerated Truck,8962
Corn,7752,crops,Dropside Truck,9416
Leafy Greens,10451,perishable goods,10 wheeler Reefer Truck,10799
Meat,1836,perishable goods,Small Refrigerated Truck,3714
Rice,4508,crops,Dropside Truck,6082
Leafy Greens,5871,perishable goods,Large Refrigerated Truck,6220
Fresh Vegetables,4145,perishable goods,Medium Refrigerated Truck,5018
Fresh Vegetables,2590,perishable goods,Small Refrigerated Truck,3473
Corn,12136,crops,10 Wheeler Dump Truck,12697
Pigs,635,livestock,Small Livestock Truck,2419
Fruits,13362,crops,10 Wheeler Dump Truck,14473
Pigs,4791,livestock,Large Livestock Truck,6200
Fruits,13462,crops,10 Wheeler Dump Truck,14392
Vegetables,6386,crops,Dropside Truck,6777
Fruits,9808,crops,10 Wheeler Cargo Truck,11340
Frozen Fish,9626,perishable goods,10 wheeler Reefer Truck,10305
Goats,1659,livestock,Medium Livestock Truck,2176
Frozen Fish,10098,perishable goods,10 wheeler Reefer Truck,10611
Chickens,9355,livestock,10 wheeler Livestock Truck,10794
Vegetables,1136,crops,Small Delivery Van,3019
Leafy Greens,5510,perishable goods,Large Refrigerated Truck,6830
Rice,7087,crops,Dropside Truck,8150
Fruits,3200,crops,Elf Truck,4704
Rice,5223,crops,Dropside Truck,5660
Milk,5501,perishable goods,Large Refrigerated Truck,6932
Chickens,3089,livestock,Large Livestock Truck,3839
Eggs,4262,perishable goods,Medium Refrigerated Truck,5536
Pigs,5736,livestock,Large Livestock Truck,6075
Fruits,6096,crops,Dropside Truck,7241
Corn,1804,crops,Elf Truck,3449
Meat,11447,perishable goods,10 wheeler Reefer Truck,11771
Pigs,10340,livestock,10 wheeler Livestock Truck,10475
Goats,745,livestock,Small Livestock Truck,978
Fruits,9207,crops,10 Wheeler Cargo Truck,10457
Chickens,6198,livestock,Large Livestock Truck,6411
Rice,1351,crops,Large Delivery Van,2105
Chickens,11834,livestock,10 wheeler Livestock Truck,13011
Vegetables,2812,crops,Large Pickup Truck,3318
Vegetables,3702,crops,Heavy Duty Pickup Truck,3946
Eggs,11413,perishable goods,10 wheeler Reefer Truck,11719
Corn,10729,crops,10 Wheeler Cargo Truck,12384
Fruits,10443,crops,10 Wheeler Cargo Truck,11790
Frozen Fish,9880,perishable goods,10 wheeler Reefer Truck,11463
Fruits,14491,crops,10 Wheeler Dump Truck,14948
Goats,5240,livestock,Large Livestock Truck,6878
Milk,6863,perishable goods,Large Refrigerated Truck,7096
Goats,3433,livestock,Large Livestock Truck,3984
Eggs,3236,perishable goods,Medium Refrigerated Truck,4079
Rice,12470,crops,10 Wheeler Dump Truck,12822
Cows,8242,livestock,10 wheeler Livestock Truck,9950
Meat,9048,perishable goods,10 wheeler Reefer Truck,10856
Rice,7295,crops,Dropside Truck,8521
Fresh Vegetables,647,perishable goods,Small Refrigerated Van,1491
Leafy Greens,4571,perishable goods,Medium Refrigerated Truck,4904
Meat,11925,perishable goods,10 wheeler Reefer Truck,13599
Rice,9643,crops,10 Wheeler Cargo Truck,10061
Milk,5212,perishable goods,Large Refrigerated Truck,6950
Leafy Greens,9107,perishable goods,10 wheeler Reefer Truck,9444
Fresh Vegetables,902,perishable goods,Medium Refrigerated Van,2628
Leafy Greens,6636,perishable goods,Large Refrigerated Truck,7541
Pigs,49,livestock,Small Livestock Truck,1703
Chickens,5010,livestock,Large Livestock Truck,5818
Rice,9290,crops,10 Wheeler Cargo Truck,11228
Fruits,3348,crops,Elf Truck,4219
Fruits,11065,crops,10 Wheeler Dump Truck,12288
Pigs,10587,livestock,10 wheeler Livestock Truck,11286
Chickens,10639,livestock,10 wheeler Livestock Truck,11555
Cows,4797,livestock,Large Livestock Truck,6511
Frozen Fish,789,perishable goods,Small Refrigerated Van,1669
Chickens,10282,livestock,10 wheeler Livestock Truck,12185
Pigs,7459,livestock,10 wheeler Livestock Truck,7862
Fruits,1418,crops,Large Delivery Van,3150
Meat,29,perishable goods,Small Refrigerated Van,655
Frozen Fish,562,perishable goods,Small Refrigerated Van,2201
Rice,12144,crops,10 Wheeler Dump Truck,13799
Fresh Vegetables,5925,perishable goods,Large Refrigerated Truck,6193
Chickens,1052,livestock,Small Livestock Truck,3009
Rice,13587,crops,10 Wheeler Dump Truck,15308
Fruits,12622,crops,10 Wheeler Dump Truck,13307
Cows,10027,livestock,10 wheeler Livestock Truck,10153
Rice,12182,crops,10 Wheeler Dump Truck,13438
Frozen Fish,1448,perishable goods,Large Refrigerated Van,2693
Pigs,345,livestock,Small Livestock Truck,1396
Fresh Vegetables,7875,perishable goods,Large Refrigerated Truck,9069
Goats,4481,livestock,Large Livestock Truck,5363
Vegetables,13663,crops,10 Wheeler Dump Truck,14415
Rice,8747,crops,Dropside Truck,10282
Meat,2131,perishable goods,Small Refrigerated Truck,3769
Cows,8042,livestock,10 wheeler Livestock Truck,9280
Frozen Fish,2164,perishable goods,Small Refrigerated Truck,3830
Eggs,5436,perishable goods,Large Refrigerated Truck,5890
Milk,8069,perishable goods,Large Refrigerated Truck,8930
Eggs,5079,perishable goods,Large Refrigerated Truck,6198
Milk,3525,perishable goods,Medium Refrigerated Truck,3788
Frozen Fish,9946,perishable goods,10 wheeler Reefer Truck,11438
Leafy Greens,9296,perishable goods,10 wheeler Reefer Truck,10630
Cows,1764,livestock,Medium Livestock Truck,2693
Rice,9107,crops,10 Wheeler Cargo Truck,10388
Vegetables,9560,crops,10 Wheeler Cargo Truck,10799
Fresh Vegetables,10233,perishable goods,10 wheeler Reefer Truck,10835
Cows,7437,livestock,10 wheeler Livestock Truck,8517
Fresh Vegetables,6250,perishable goods,Large Refrigerated Truck,6487
Vegetables,12624,crops,10 Wheeler Dump Truck,13566
Pigs,297,livestock,Small Livestock Truck,424
Chickens,2436,livestock,Medium Livestock Truck,3924
Milk,7455,perishable goods,Large Refrigerated Truck,9192
Chickens,527,livestock,Small Livestock Truck,1724
Cows,8875,livestock,10 wheeler Livestock Truck,10766
Leafy Greens,2756,perishable goods,Small Refrigerated Truck,4029
Meat,8154,perishable goods,Large Refrigerated Truck,9826
Goats,3654,livestock,Large Livestock Truck,4818
Fruits,14028,crops,10 Wheeler Dump Truck,15243
Chickens,6113,livestock,Large Livestock Truck,8054
Frozen Fish,3956,perishable goods,Medium Refrigerated Truck,5826
Meat,7315,perishable goods,Large Refrigerated Truck,7856
Cows,3585,livestock,Large Livestock Truck,4312
Chickens,5405,livestock,Large Livestock Truck,5694
Milk,515,perishable goods,Small Refrigerated Van,1865
Fruits,1724,crops,Elf Truck,2049
Chickens,9552,livestock,10 wheeler Livestock Truck,10578
Corn,734,crops,Small Pickup Truck,1523
Fresh Vegetables,4944,perishable goods,Medium Refrigerated Truck,5269
Goats,818,livestock,Small Livestock Truck,2121
Eggs,8187,perishable goods,Large Refrigerated Truck,8438
Fresh Vegetables,836,perishable goods,Medium Refrigerated Van,1062
Corn,10429,crops,10 Wheeler Cargo Truck,12280
Meat,5700,perishable goods,Large Refrigerated Truck,7253
Eggs,4027,perishable goods,Medium Refrigerated Truck,4375
Fresh Vegetables,3183,perishable goods,Medium Refrigerated Truck,4095
Rice,2240,crops,Large Pickup Truck,2699
Vegetables,2745,crops,Elf Truck,3990
Fruits,225,crops,Tricycle,758
Milk,203,perishable goods,Small Refrigerated Van,424
Chickens,8798,livestock,10 wheeler Livestock Truck,10180
Cows,247,livestock,Small Livestock Truck,1920
Milk,4301,perishable goods,Medium Refrigerated Truck,4766
Vegetables,2797,crops,Elf Truck,3384
Chickens,10400,livestock,10 wheeler Livestock Truck,11852
Fruits,5687,crops,Dropside Truck,6067
Leafy Greens,10105,perishable goods,10 wheeler Reefer Truck,10594
Corn,8713,crops,10 Wheeler Cargo Truck,10291
Eggs,7104,perishable goods,Large Refrigerated Truck,7799
Frozen Fish,9357,perishable goods,10 wheeler Reefer Truck,9645
Vegetables,7658,crops,Dropside Truck,8098
Fresh Vegetables,10651,perishable goods,10 wheeler Reefer Truck,11476
Goats,4769,livestock,Large Livestock Truck,6617
Cows,1694,livestock,Medium Livestock Truck,3351
Cows,6295,livestock,Large Livestock Truck,6984
Cows,8142,livestock,10 wheeler Livestock Truck,9124
Frozen Fish,8412,perishable goods,Large Refrigerated Truck,9189
Meat,11332,perishable goods,10 wheeler Reefer Truck,13175
Eggs,6967,perishable goods,Large Refrigerated Truck,7786
Rice,14091,crops,10 Wheeler Dump Truck,14574
Milk,5921,perishable goods,Large Refrigerated Truck,7297
Rice,13193,crops,10 Wheeler Dump Truck,13649
Chickens,8370,livestock,10 wheeler Livestock Truck,9536
Goats,10270,livestock,10 wheeler Livestock Truck,11412
Leafy Greens,567,perishable goods,Small Refrigerated Van,1581
Pigs,130,livestock,Small Livestock Truck,1950
Cows,10319,livestock,10 wheeler Livestock Truck,11346
Meat,8385,perishable goods,Large Refrigerated Truck,8872
Goats,11190,livestock,10 wheeler Livestock Truck,11813
Corn,9030,crops,10 Wheeler Cargo Truck,10244
Fresh Vegetables,5187,perishable goods,Large Refrigerated Truck,6517
Pigs,4824,livestock,Large Livestock Truck,4956
Corn,1314,crops,Large Multicab,1641
Frozen Fish,11290,perishable goods,10 wheeler Reefer Truck,12457
Vegetables,6080,crops,Dropside Truck,7869
Goats,3988,livestock,Large Livestock Truck,5424
Meat,4054,perishable goods,Medium Refrigerated Truck,4989
Frozen Fish,10591,perishable goods,10 wheeler Reefer Truck,11898
Rice,1021,crops,Small Pickup Truck,1179
Goats,10075,livestock,10 wheeler Livestock Truck,10972
Corn,10070,crops,10 Wheeler Cargo Truck,11341
Vegetables,3893,crops,Heavy Duty Pickup Truck,5761
Cows,6015,livestock,Large Livestock Truck,6696
Rice,4879,crops,Dropside Truck,6359
Vegetables,9769,crops,10 Wheeler Cargo Truck,10625
Frozen Fish,1509,perishable goods,Small Refrigerated Truck,2426
Fresh Vegetables,1830,perishable goods,Small Refrigerated Truck,3579
Leafy Greens,9665,perishable goods,10 wheeler Reefer Truck,9817
Meat,8536,perishable goods,Large Refrigerated Truck,8719
Eggs,5497,perishable goods,Large Refrigerated Truck,6673
Meat,10734,perishable goods,10 wheeler Reefer Truck,11590
Pigs,4432,livestock,Large Livestock Truck,6060
Fresh Vegetables,851,perishable goods,Medium Refrigerated Van,1712
Leafy Greens,3391,perishable goods,Medium Refrigerated Truck,4995
Chickens,2505,livestock,Medium Livestock Truck,2811
Goats,4071,livestock,Large Livestock Truck,6018
Frozen Fish,4134,perishable goods,Medium Refrigerated Truck,5239
Corn,9492,crops,10 Wheeler Cargo Truck,9609
Eggs,7420,perishable goods,Large Refrigerated Truck,7973
Cows,3261,livestock,Large Livestock Truck,3492
Frozen Fish,9842,perishable goods,10 wheeler Reefer Truck,10833
Corn,3635,crops,Heavy Duty Pickup Truck,4395
Corn,510,crops,Small Delivery Van,2357
Vegetables,11287,crops,10 Wheeler Cargo Truck,11399
Fresh Vegetables,5375,perishable goods,Large Refrigerated Truck,6556
Corn,12399,crops,10 Wheeler Dump Truck,13665
Goats,81,livestock,Small Livestock Truck,1348
Chickens,9036,livestock,10 wheeler Livestock Truck,10934
Pigs,3718,livestock,Large Livestock Truck,5662
Fresh Vegetables,7748,perishable goods,Large Refrigerated Truck,7976
Corn,13252,crops,10 Wheeler Dump Truck,13718
Cows,5307,livestock,Large Livestock Truck,6251
Fresh Vegetables,4223,perishable goods,Medium Refrigerated Truck,5526
Chickens,2621,livestock,Medium Livestock Truck,3693
Eggs,262,perishable goods,Small Refrigerated Van,2043
Vegetables,8580,crops,Dropside Truck,9612
Eggs,8321,perishable goods,Large Refrigerated Truck,9227
Milk,11446,perishable goods,10 wheeler Reefer Truck,12193
Cows,7224,livestock,10 wheeler Livestock Truck,8775
Chickens,11233,livestock,10 wheeler Livestock Truck,12931
Frozen Fish,20,perishable goods,Small Refrigerated Van,987
Goats,4593,livestock,Large Livestock Truck,5369
Leafy Greens,4848,perishable goods,Medium Refrigerated Truck,5638
Corn,3042,crops,Large Pickup Truck,3835
Rice,11818,crops,10 Wheeler Cargo Truck,13486
Goats,4938,livestock,Large Livestock Truck,5038
Pigs,10719,livestock,10 wheeler Livestock Truck,11147
Pigs,10288,livestock,10 wheeler Livestock Truck,11462
Cows,9678,livestock,10 wheeler Livestock Truck,10717
Milk,1341,perishable goods,Large Refrigerated Van,2185
Pigs,1786,livestock,Medium Livestock Truck,3401
Pigs,11228,livestock,10 wheeler Livestock Truck,11946
Frozen Fish,11910,perishable goods,10 wheeler Reefer Truck,12248
Meat,3296,perishable goods,Medium Refrigerated Truck,4049
Leafy Greens,9029,perishable goods,10 wheeler Reefer Truck,10282
Pigs,3308,livestock,Large Livestock Truck,5051
Goats,5909,livestock,Large Livestock Truck,7271
Cows,5831,livestock,Large Livestock Truck,7383
Goats,1241,livestock,Small Livestock Truck,2015
Vegetables,6637,crops,Dropside Truck,7519
Rice,12648,crops,10 Wheeler Dump Truck,13226
Leafy Greens,11943,perishable goods,10 wheeler Reefer Truck,13502
Eggs,7163,perishable goods,Large Refrigerated Truck,9069
Milk,3147,perishable goods,Medium Refrigerated Truck,3482
Eggs,9536,perishable goods,10 wheeler Reefer Truck,10744
Goats,6835,livestock,Large Livestock Truck,7401
Eggs,11199,perishable goods,10 wheeler Reefer Truck,11908
Eggs,61,perishable goods,Small Refrigerated Van,1332
Rice,9159,crops,10 Wheeler Cargo Truck,11131
Chickens,513,livestock,Small Livestock Truck,1186
Cows,11392,livestock,10 wheeler Livestock Truck,13375
Corn,3516,crops,Heavy Duty Pickup Truck,4992
Fruits,1915,crops,Large Delivery Van,2184
Eggs,6424,perishable goods,Large Refrigerated Truck,6732
Chickens,6457,livestock,Large Livestock Truck,7056
Cows,4998,livestock,Large Livestock Truck,6001
Fruits,9205,crops,10 Wheeler Cargo Truck,9697
Eggs,9076,perishable goods,10 wheeler Reefer Truck,9543
Fruits,2509,crops,Large Pickup Truck,2699
Milk,5886,perishable goods,Large Refrigerated Truck,7007
Fruits,5504,crops,Dropside Truck,6224
Milk,1572,perishable goods,Small Refrigerated Truck,3342
Meat,11127,perishable goods,10 wheeler Reefer Truck,11393
Frozen Fish,6696,perishable goods,Large Refrigerated Truck,8690
Corn,2203,crops,Elf Truck,3489
Eggs,4776,perishable goods,Medium Refrigerated Truck,6615
Fruits,10471,crops,10 Wheeler Cargo Truck,11193
Fruits,10229,crops,10 Wheeler Cargo Truck,12049
Eggs,11657,perishable goods,10 wheeler Reefer Truck,13478
Rice,6504,crops,Dropside Truck,8166
Fruits,11947,crops,10 Wheeler Cargo Truck,13673
Fruits,4093,crops,Heavy Duty Pickup Truck,4621
Eggs,246,perishable goods,Small Refrigerated Van,508
Fresh Vegetables,8713,perishable goods,Large Refrigerated Truck,9637
Frozen Fish,9849,perishable goods,10 wheeler Reefer Truck,10717
Milk,213,perishable goods,Small Refrigerated Van,1648
Fresh Vegetables,11494,perishable goods,10 wheeler Reefer Truck,12000
Corn,9103,crops,10 Wheeler Cargo Truck,11098
Meat,6445,perishable goods,Large Refrigerated Truck,7961
Milk,4463,perishable goods,Medium Refrigerated Truck,6162
Chickens,197,livestock,Small Livestock Truck,1254
Leafy Greens,3330,perishable goods,Medium Refrigerated Truck,4616
Goats,6152,livestock,Large Livestock Truck,8020
Pigs,372,livestock,Small Livestock Truck,1213
Fruits,8290,crops,Dropside Truck,8721
Vegetables,750,crops,Small Delivery Van,2434
