Product Type,Product Weight (kg),Purpose,Vehicle Type
Frozen Fish,10951,perishable goods,10 wheeler Reefer Truck
Vegetables,1330,crops,Large Delivery Van
Corn,9710,crops,10 Wheeler Cargo Truck
Leafy Greens,9781,perishable goods,10 wheeler Reefer Truck
Rice,6990,crops,Dropside Truck
Fruits,12600,crops,10 Wheeler Dump Truck
Leafy Greens,6341,perishable goods,Large Refrigerated Truck
Pigs,7011,livestock,10 wheeler Livestock Truck
Rice,2360,crops,Large Pickup Truck
Fresh Vegetables,10711,perishable goods,10 wheeler Reefer Truck
Goats,6341,livestock,Large Livestock Truck
Rice,9390,crops,10 Wheeler Cargo Truck
Vegetables,760,crops,Small Pickup Truck
Leafy Greens,6421,perishable goods,Large Refrigerated Truck
Corn,2460,crops,Elf Truck
Meat,8361,perishable goods,Large Refrigerated Truck
Rice,960,crops,Small Multicab
Corn,11980,crops,10 Wheeler Cargo Truck
Leafy Greens,3821,perishable goods,Medium Refrigerated Truck
Goats,8341,livestock,10 wheeler Livestock Truck
Meat,5621,perishable goods,Large Refrigerated Truck
Goats,8411,livestock,10 wheeler Livestock Truck
Fruits,2110,crops,Elf Truck
Vegetables,8240,crops,Dropside Truck
Vegetables,2910,crops,Elf Truck
Cows,9041,livestock,10 wheeler Livestock Truck
Milk,4331,perishable goods,Medium Refrigerated Truck
Goats,2531,livestock,Medium Livestock Truck
Rice,9060,crops,10 Wheeler Cargo Truck
Vegetables,12060,crops,10 Wheeler Dump Truck
Frozen Fish,9131,perishable goods,10 wheeler Reefer Truck
Rice,510,crops,Small Multicab
Frozen Fish,3671,perishable goods,Medium Refrigerated Truck
Vegetables,9000,crops,Dropside Truck
Rice,14730,crops,10 Wheeler Dump Truck
Rice,12430,crops,10 Wheeler Dump Truck
Corn,860,crops,Small Multicab
Vegetables,2360,crops,Elf Truck
Rice,1850,crops,Elf Truck
Rice,5520,crops,Dropside Truck
Meat,9851,perishable goods,10 wheeler Reefer Truck
Milk,11551,perishable goods,10 wheeler Reefer Truck
Pigs,2991,livestock,Medium Livestock Truck
Corn,6910,crops,Dropside Truck
Corn,6690,crops,Dropside Truck
Milk,5601,perishable goods,Large Refrigerated Truck
Vegetables,1450,crops,Elf Truck
Fruits,8970,crops,Dropside Truck
Rice,2960,crops,Elf Truck
Goats,141,livestock,Small Livestock Truck
Corn,12440,crops,10 Wheeler Dump Truck
Cows,2481,livestock,Medium Livestock Truck
Vegetables,1360,crops,Large Delivery Van
Pigs,2061,livestock,Medium Livestock Truck
Milk,10391,perishable goods,10 wheeler Reefer Truck
Rice,5530,crops,Dropside Truck
Cows,631,livestock,Small Livestock Truck
Goats,251,livestock,Small Livestock Truck
Eggs,1921,perishable goods,Small Refrigerated Truck
Frozen Fish,2341,perishable goods,Small Refrigerated Truck
Cows,3111,livestock,Large Livestock Truck
Vegetables,1400,crops,Large Delivery Van
Rice,2470,crops,Large Pickup Truck
Milk,7811,perishable goods,Large Refrigerated Truck
Frozen Fish,10901,perishable goods,10 wheeler Reefer Truck
Rice,790,crops,Small Pickup Truck
Corn,110,crops,Tricycle
Vegetables,8300,crops,Dropside Truck
Cows,4431,livestock,Large Livestock Truck
Cows,1631,livestock,Medium Livestock Truck
Fresh Vegetables,11331,perishable goods,10 wheeler Reefer Truck
Rice,1140,crops,Large Delivery Van
Pigs,1681,livestock,Medium Livestock Truck
Vegetables,3360,crops,Elf Truck
Vegetables,13600,crops,10 Wheeler Dump Truck
Milk,1791,perishable goods,Small Refrigerated Truck
Corn,11950,crops,10 Wheeler Dump Truck
Corn,11760,crops,10 Wheeler Dump Truck
Frozen Fish,11531,perishable goods,10 wheeler Reefer Truck
Frozen Fish,9261,perishable goods,10 wheeler Reefer Truck
Meat,10841,perishable goods,10 wheeler Reefer Truck
Cows,561,livestock,Small Livestock Truck
Eggs,931,perishable goods,Medium Refrigerated Van
Cows,501,livestock,Small Livestock Truck
Leafy Greens,5391,perishable goods,Large Refrigerated Truck
Corn,5710,crops,Dropside Truck
Corn,11120,crops,10 Wheeler Cargo Truck
Pigs,3491,livestock,Large Livestock Truck
Cows,10421,livestock,10 wheeler Livestock Truck
Frozen Fish,7761,perishable goods,Large Refrigerated Truck
Corn,510,crops,Small Delivery Van
Rice,7490,crops,Dropside Truck
Vegetables,1420,crops,Medium Pickup Truck
Fresh Vegetables,10661,perishable goods,10 wheeler Reefer Truck
Fresh Vegetables,8471,perishable goods,Large Refrigerated Truck
Rice,13000,crops,10 Wheeler Dump Truck
Eggs,6941,perishable goods,Large Refrigerated Truck
Goats,7771,livestock,10 wheeler Livestock Truck
Rice,3020,crops,Large Pickup Truck
Cows,3391,livestock,Large Livestock Truck
Chickens,1561,livestock,Medium Livestock Truck
Rice,11820,crops,10 Wheeler Cargo Truck
Corn,4700,crops,Dropside Truck
Rice,10620,crops,10 Wheeler Cargo Truck
Pigs,7271,livestock,10 wheeler Livestock Truck
Rice,3890,crops,Heavy Duty Pickup Truck
Corn,6180,crops,Dropside Truck
Eggs,4221,perishable goods,Medium Refrigerated Truck
Fresh Vegetables,10571,perishable goods,10 wheeler Reefer Truck
Fruits,6870,crops,Dropside Truck
Eggs,301,perishable goods,Small Refrigerated Van
Chickens,11791,livestock,10 wheeler Livestock Truck
Vegetables,7890,crops,Dropside Truck
Fresh Vegetables,7091,perishable goods,Large Refrigerated Truck
Corn,2380,crops,Large Pickup Truck
Fruits,10200,crops,10 Wheeler Cargo Truck
Frozen Fish,4541,perishable goods,Medium Refrigerated Truck
Fruits,10020,crops,10 Wheeler Cargo Truck
Fruits,8620,crops,Dropside Truck
Cows,8681,livestock,10 wheeler Livestock Truck
Corn,3950,crops,Heavy Duty Pickup Truck
Meat,4861,perishable goods,Medium Refrigerated Truck
Rice,8800,crops,10 Wheeler Cargo Truck
Goats,5261,livestock,Large Livestock Truck
Pigs,1321,livestock,Small Livestock Truck
Cows,11041,livestock,10 wheeler Livestock Truck
Vegetables,8030,crops,10 Wheeler Cargo Truck
Chickens,2091,livestock,Medium Livestock Truck
Pigs,3521,livestock,Large Livestock Truck
Goats,4341,livestock,Large Livestock Truck
Goats,7381,livestock,10 wheeler Livestock Truck
Vegetables,7220,crops,Dropside Truck
Fruits,740,crops,Small Delivery Van
Cows,9951,livestock,10 wheeler Livestock Truck
Corn,12070,crops,10 Wheeler Dump Truck
Milk,4601,perishable goods,Medium Refrigerated Truck
Fruits,1140,crops,Medium Pickup Truck
Cows,8991,livestock,10 wheeler Livestock Truck
Vegetables,1010,crops,Large Multicab
Leafy Greens,1671,perishable goods,Small Refrigerated Truck
Corn,570,crops,Small Multicab
Goats,6091,livestock,Large Livestock Truck
Corn,860,crops,Small Pickup Truck
Fruits,2070,crops,Elf Truck
Fresh Vegetables,11651,perishable goods,10 wheeler Reefer Truck
Vegetables,11150,crops,10 Wheeler Dump Truck
Rice,4870,crops,Dropside Truck
Chickens,10951,livestock,10 wheeler Livestock Truck
Cows,11141,livestock,10 wheeler Livestock Truck
Corn,4440,crops,Dropside Truck
Fresh Vegetables,9291,perishable goods,10 wheeler Reefer Truck
Chickens,6481,livestock,Large Livestock Truck
Chickens,5671,livestock,Large Livestock Truck
Chickens,181,livestock,Small Livestock Truck
Fresh Vegetables,9601,perishable goods,10 wheeler Reefer Truck
Goats,11671,livestock,10 wheeler Livestock Truck
Vegetables,1220,crops,Medium Pickup Truck
Leafy Greens,10911,perishable goods,10 wheeler Reefer Truck
Chickens,11891,livestock,10 wheeler Livestock Truck
Eggs,2251,perishable goods,Small Refrigerated Truck
Frozen Fish,5371,perishable goods,Large Refrigerated Truck
Fruits,1820,crops,Elf Truck
Vegetables,2970,crops,Elf Truck
Leafy Greens,1351,perishable goods,Large Refrigerated Van
Leafy Greens,6461,perishable goods,Large Refrigerated Truck
Eggs,7971,perishable goods,Large Refrigerated Truck
Corn,5300,crops,Dropside Truck
Corn,1490,crops,Large Delivery Van
Corn,11570,crops,10 Wheeler Cargo Truck
Fruits,1900,crops,Elf Truck
Rice,400,crops,Tricycle
Cows,8111,livestock,10 wheeler Livestock Truck
Fruits,5620,crops,Dropside Truck
Fruits,1090,crops,Small Delivery Van
Milk,8041,perishable goods,Large Refrigerated Truck
Pigs,4291,livestock,Large Livestock Truck
Goats,1611,livestock,Medium Livestock Truck
Milk,10931,perishable goods,10 wheeler Reefer Truck
Leafy Greens,8761,perishable goods,Large Refrigerated Truck
Goats,5351,livestock,Large Livestock Truck
Cows,8281,livestock,10 wheeler Livestock Truck
Pigs,8011,livestock,10 wheeler Livestock Truck
Corn,8970,crops,10 Wheeler Cargo Truck
Chickens,2451,livestock,Medium Livestock Truck
Frozen Fish,701,perishable goods,Small Refrigerated Van
Rice,11770,crops,10 Wheeler Cargo Truck
Fruits,1560,crops,Elf Truck
Chickens,4741,livestock,Large Livestock Truck
Corn,2570,crops,Large Pickup Truck
Milk,11511,perishable goods,10 wheeler Reefer Truck
Pigs,1741,livestock,Medium Livestock Truck
Corn,6480,crops,Dropside Truck
Fresh Vegetables,881,perishable goods,Medium Refrigerated Van
Vegetables,4410,crops,Heavy Duty Pickup Truck
Corn,11600,crops,10 Wheeler Dump Truck
Milk,6001,perishable goods,Large Refrigerated Truck
Rice,11280,crops,10 Wheeler Dump Truck
Corn,9420,crops,10 Wheeler Cargo Truck
Chickens,7331,livestock,10 wheeler Livestock Truck
Rice,13710,crops,10 Wheeler Dump Truck
Meat,8911,perishable goods,Large Refrigerated Truck
Chickens,3001,livestock,Large Livestock Truck
Corn,6770,crops,Dropside Truck
Vegetables,8400,crops,Dropside Truck
Fruits,7660,crops,Dropside Truck
Fresh Vegetables,1861,perishable goods,Small Refrigerated Truck
Frozen Fish,5501,perishable goods,Large Refrigerated Truck
Cows,8611,livestock,10 wheeler Livestock Truck
Eggs,2771,perishable goods,Small Refrigerated Truck
Pigs,11221,livestock,10 wheeler Livestock Truck
Fruits,2310,crops,Large Pickup Truck
Corn,13260,crops,10 Wheeler Dump Truck
Corn,920,crops,Small Delivery Van
Vegetables,13350,crops,10 Wheeler Dump Truck
Vegetables,1430,crops,Large Delivery Van
Fruits,2420,crops,Elf Truck
Vegetables,9290,crops,10 Wheeler Cargo Truck
Fruits,12610,crops,10 Wheeler Dump Truck
Fruits,6410,crops,Dropside Truck
Fruits,4790,crops,Dropside Truck
Cows,5591,livestock,Large Livestock Truck
Rice,8410,crops,Dropside Truck
Corn,6060,crops,Dropside Truck
Fruits,70,crops,Tricycle
Frozen Fish,3591,perishable goods,Medium Refrigerated Truck
Cows,11801,livestock,10 wheeler Livestock Truck
Corn,1140,crops,Small Delivery Van
Pigs,4631,livestock,Large Livestock Truck
Leafy Greens,3461,perishable goods,Medium Refrigerated Truck
Corn,1470,crops,Large Multicab
Pigs,2401,livestock,Medium Livestock Truck
Goats,1701,livestock,Medium Livestock Truck
Goats,2361,livestock,Medium Livestock Truck
Vegetables,2140,crops,Elf Truck
Vegetables,2180,crops,Large Pickup Truck
Goats,5531,livestock,Large Livestock Truck
Corn,3640,crops,Heavy Duty Pickup Truck
Fruits,850,crops,Small Multicab
Rice,3620,crops,Heavy Duty Pickup Truck
Meat,10671,perishable goods,10 wheeler Reefer Truck
Eggs,8981,perishable goods,Large Refrigerated Truck
Frozen Fish,10421,perishable goods,10 wheeler Reefer Truck
Milk,2861,perishable goods,Small Refrigerated Truck
Milk,11341,perishable goods,10 wheeler Reefer Truck
Cows,10371,livestock,10 wheeler Livestock Truck
Fruits,5380,crops,Dropside Truck
Corn,8920,crops,Dropside Truck
Milk,3061,perishable goods,Medium Refrigerated Truck
Rice,1570,crops,Elf Truck
Corn,1660,crops,Elf Truck
Corn,9240,crops,10 Wheeler Cargo Truck
Eggs,11351,perishable goods,10 wheeler Reefer Truck
Frozen Fish,5721,perishable goods,Large Refrigerated Truck
Eggs,2451,perishable goods,Small Refrigerated Truck
Corn,1410,crops,Large Delivery Van
Leafy Greens,4091,perishable goods,Medium Refrigerated Truck
Goats,5821,livestock,Large Livestock Truck
Milk,7701,perishable goods,Large Refrigerated Truck
Rice,3250,crops,Large Pickup Truck
Fruits,21,crops,Motorcycle with Box
Cows,11871,livestock,10 wheeler Livestock Truck
Corn,8230,crops,10 Wheeler Cargo Truck
Fresh Vegetables,9341,perishable goods,10 wheeler Reefer Truck
Goats,331,livestock,Small Livestock Truck
Fruits,4770,crops,Dropside Truck
Pigs,4821,livestock,Large Livestock Truck
Rice,1120,crops,Small Delivery Van
Cows,2291,livestock,Medium Livestock Truck
Goats,511,livestock,Small Livestock Truck
Fruits,11090,crops,10 Wheeler Dump Truck
Milk,4211,perishable goods,Medium Refrigerated Truck
Fruits,2120,crops,Elf Truck
Goats,1621,livestock,Medium Livestock Truck
Rice,11020,crops,10 Wheeler Cargo Truck
Cows,11451,livestock,10 wheeler Livestock Truck
Chickens,871,livestock,Small Livestock Truck
Fruits,2970,crops,Large Pickup Truck
Vegetables,8050,crops,Dropside Truck
Rice,880,crops,Small Pickup Truck
Milk,2911,perishable goods,Small Refrigerated Truck
Rice,3200,crops,Elf Truck
Cows,1821,livestock,Medium Livestock Truck
Chickens,4441,livestock,Large Livestock Truck
Eggs,10321,perishable goods,10 wheeler Reefer Truck
Corn,900,crops,Small Pickup Truck
Corn,1460,crops,Large Delivery Van
Vegetables,4820,crops,Dropside Truck
Frozen Fish,7351,perishable goods,Large Refrigerated Truck
Chickens,11531,livestock,10 wheeler Livestock Truck
Eggs,1231,perishable goods,Large Refrigerated Van
Cows,5801,livestock,Large Livestock Truck
Leafy Greens,4451,perishable goods,Medium Refrigerated Truck
Chickens,7491,livestock,10 wheeler Livestock Truck
Eggs,7751,perishable goods,Large Refrigerated Truck
Pigs,11521,livestock,10 wheeler Livestock Truck
Corn,3850,crops,Heavy Duty Pickup Truck
Fruits,8900,crops,10 Wheeler Cargo Truck
Chickens,1071,livestock,Small Livestock Truck
Cows,2321,livestock,Medium Livestock Truck
Meat,6021,perishable goods,Large Refrigerated Truck
Cows,9071,livestock,10 wheeler Livestock Truck
Chickens,4891,livestock,Large Livestock Truck
Fresh Vegetables,7201,perishable goods,Large Refrigerated Truck
Vegetables,9300,crops,10 Wheeler Cargo Truck
Rice,10680,crops,10 Wheeler Cargo Truck
Vegetables,760,crops,Small Delivery Van
Pigs,5391,livestock,Large Livestock Truck
Cows,41,livestock,Small Livestock Truck
Rice,10130,crops,10 Wheeler Cargo Truck
Rice,11370,crops,10 Wheeler Dump Truck
Corn,10970,crops,10 Wheeler Cargo Truck
Vegetables,8500,crops,Dropside Truck
Chickens,321,livestock,Small Livestock Truck
Cows,10131,livestock,10 wheeler Livestock Truck
Fresh Vegetables,6781,perishable goods,Large Refrigerated Truck
Fresh Vegetables,5821,perishable goods,Large Refrigerated Truck
Chickens,11411,livestock,10 wheeler Livestock Truck
Milk,5271,perishable goods,Large Refrigerated Truck
Leafy Greens,3331,perishable goods,Medium Refrigerated Truck
Cows,4061,livestock,Large Livestock Truck
Vegetables,12640,crops,10 Wheeler Dump Truck
Goats,6031,livestock,Large Livestock Truck
Fruits,10750,crops,10 Wheeler Cargo Truck
Fresh Vegetables,2851,perishable goods,Small Refrigerated Truck
Vegetables,8600,crops,10 Wheeler Cargo Truck
Fruits,8560,crops,Dropside Truck
Pigs,7441,livestock,10 wheeler Livestock Truck
Fruits,13790,crops,10 Wheeler Dump Truck
Milk,10351,perishable goods,10 wheeler Reefer Truck
Rice,4340,crops,Heavy Duty Pickup Truck
Rice,490,crops,Small Multicab
Fruits,11390,crops,10 Wheeler Dump Truck
Vegetables,1920,crops,Large Delivery Van
Chickens,8041,livestock,10 wheeler Livestock Truck
Chickens,5181,livestock,Large Livestock Truck
Eggs,9301,perishable goods,10 wheeler Reefer Truck
Leafy Greens,4411,perishable goods,Medium Refrigerated Truck
Meat,9051,perishable goods,10 wheeler Reefer Truck
Fruits,14420,crops,10 Wheeler Dump Truck
Milk,8291,perishable goods,Large Refrigerated Truck
Milk,2441,perishable goods,Small Refrigerated Truck
Vegetables,8410,crops,10 Wheeler Cargo Truck
Corn,4670,crops,Dropside Truck
Pigs,4761,livestock,Large Livestock Truck
Fruits,3000,crops,Large Pickup Truck
Fruits,2730,crops,Large Pickup Truck
Pigs,2691,livestock,Medium Livestock Truck
Vegetables,6650,crops,Dropside Truck
Corn,3540,crops,Heavy Duty Pickup Truck
Rice,4550,crops,Dropside Truck
Fresh Vegetables,1341,perishable goods,Large Refrigerated Van
Chickens,10341,livestock,10 wheeler Livestock Truck
Rice,9380,crops,10 Wheeler Cargo Truck
Vegetables,10160,crops,10 Wheeler Cargo Truck
Milk,731,perishable goods,Small Refrigerated Van
Leafy Greens,4961,perishable goods,Medium Refrigerated Truck
Fruits,4390,crops,Heavy Duty Pickup Truck
Corn,9750,crops,10 Wheeler Cargo Truck
Goats,8311,livestock,10 wheeler Livestock Truck
Vegetables,100,crops,Tricycle
Vegetables,9310,crops,10 Wheeler Cargo Truck
Corn,12220,crops,10 Wheeler Dump Truck
Frozen Fish,5741,perishable goods,Large Refrigerated Truck
Fruits,12660,crops,10 Wheeler Dump Truck
Frozen Fish,2201,perishable goods,Small Refrigerated Truck
Goats,4491,livestock,Large Livestock Truck
Eggs,11321,perishable goods,10 wheeler Reefer Truck
Fresh Vegetables,5261,perishable goods,Large Refrigerated Truck
Fruits,6490,crops,Dropside Truck
Goats,5021,livestock,Large Livestock Truck
Vegetables,11260,crops,10 Wheeler Dump Truck
Eggs,661,perishable goods,Small Refrigerated Van
Vegetables,13210,crops,10 Wheeler Dump Truck
Fruits,7620,crops,Dropside Truck
Cows,4941,livestock,Large Livestock Truck
Rice,580,crops,Small Multicab
Goats,3201,livestock,Large Livestock Truck
Chickens,10751,livestock,10 wheeler Livestock Truck
Chickens,8471,livestock,10 wheeler Livestock Truck
Vegetables,8420,crops,Dropside Truck
Eggs,3771,perishable goods,Medium Refrigerated Truck
Rice,12020,crops,10 Wheeler Dump Truck
Meat,10371,perishable goods,10 wheeler Reefer Truck
Corn,8170,crops,Dropside Truck
Cows,911,livestock,Small Livestock Truck
Fruits,8370,crops,Dropside Truck
Corn,770,crops,Small Delivery Van
Cows,161,livestock,Small Livestock Truck
Chickens,10601,livestock,10 wheeler Livestock Truck
Goats,6291,livestock,Large Livestock Truck
Corn,11070,crops,10 Wheeler Dump Truck
Pigs,1141,livestock,Small Livestock Truck
Eggs,3871,perishable goods,Medium Refrigerated Truck
Cows,10391,livestock,10 wheeler Livestock Truck
Cows,3671,livestock,Large Livestock Truck
Fruits,1500,crops,Medium Pickup Truck
Pigs,10671,livestock,10 wheeler Livestock Truck
Frozen Fish,5151,perishable goods,Large Refrigerated Truck
Fruits,10370,crops,10 Wheeler Cargo Truck
Frozen Fish,10171,perishable goods,10 wheeler Reefer Truck
Fresh Vegetables,821,perishable goods,Medium Refrigerated Van
Rice,11180,crops,10 Wheeler Dump Truck
Corn,11870,crops,10 Wheeler Dump Truck
Pigs,2171,livestock,Medium Livestock Truck
Fruits,2810,crops,Elf Truck
Goats,401,livestock,Small Livestock Truck
Vegetables,11310,crops,10 Wheeler Cargo Truck
Frozen Fish,2701,perishable goods,Small Refrigerated Truck
Fruits,4020,crops,Heavy Duty Pickup Truck
Leafy Greens,951,perishable goods,Medium Refrigerated Van
Rice,8190,crops,Dropside Truck
Vegetables,3840,crops,Heavy Duty Pickup Truck
Cows,10791,livestock,10 wheeler Livestock Truck
Goats,4771,livestock,Large Livestock Truck
Eggs,9671,perishable goods,10 wheeler Reefer Truck
Leafy Greens,9191,perishable goods,10 wheeler Reefer Truck
Corn,13370,crops,10 Wheeler Dump Truck
Rice,1340,crops,Large Multicab
Rice,2740,crops,Large Pickup Truck
Corn,5640,crops,Dropside Truck
Rice,8570,crops,10 Wheeler Cargo Truck
Cows,1381,livestock,Small Livestock Truck
Eggs,6851,perishable goods,Large Refrigerated Truck
Eggs,5921,perishable goods,Large Refrigerated Truck
Goats,8081,livestock,10 wheeler Livestock Truck
Corn,11890,crops,10 Wheeler Cargo Truck
Fruits,5100,crops,Dropside Truck
Vegetables,4330,crops,Heavy Duty Pickup Truck
Chickens,1721,livestock,Medium Livestock Truck
Goats,10241,livestock,10 wheeler Livestock Truck
Vegetables,1430,crops,Medium Pickup Truck
Vegetables,4920,crops,Dropside Truck
